StateCode,RatingAreaId,Age,NumericRate_Mean
AK,Rating Area 1,0-20,253.9396721
AK,Rating Area 1,21,401.8901639
AK,Rating Area 1,22,401.8901639
AK,Rating Area 1,23,401.8901639
AK,Rating Area 1,24,401.8901639
AK,Rating Area 1,25,403.4689618
AK,Rating Area 1,26,411.5517486
AK,Rating Area 1,27,421.034153
AK,Rating Area 1,28,436.3813115
AK,Rating Area 1,29,449.0202732
AK,Rating Area 1,30,455.3071038
AK,Rating Area 1,31,464.7728415
AK,Rating Area 1,32,474.2336066
AK,Rating Area 1,33,480.153224
AK,Rating Area 1,34,486.4345355
AK,Rating Area 1,35,489.6027869
AK,Rating Area 1,36,492.7487432
AK,Rating Area 1,37,495.9057377
AK,Rating Area 1,38,499.0462842
AK,Rating Area 1,39,505.3606557
AK,Rating Area 1,40,511.6802186
AK,Rating Area 1,41,521.1295628
AK,Rating Area 1,42,530.1902186
AK,Rating Area 1,43,542.8076503
AK,Rating Area 1,44,558.576612
AK,Rating Area 1,45,577.0918579
AK,Rating Area 1,46,599.164153
AK,Rating Area 1,47,623.9989618
AK,Rating Area 1,48,652.3802186
AK,Rating Area 1,49,680.3668306
AK,Rating Area 1,50,711.8885792
AK,Rating Area 1,51,743.0377596
AK,Rating Area 1,52,777.3220219
AK,Rating Area 1,53,812.0009836
AK,Rating Area 1,54,849.4534973
AK,Rating Area 1,55,887.0394536
AK,Rating Area 1,56,927.6269945
AK,Rating Area 1,57,968.6146995
AK,Rating Area 1,58,1012.370055
AK,Rating Area 1,59,1034.036885
AK,Rating Area 1,60,1077.79306
AK,Rating Area 1,61,1115.645027
AK,Rating Area 1,62,1140.463552
AK,Rating Area 1,63,1171.601475
AK,Rating Area 1,64,1190.508087
AK,Rating Area 1,65 and,1191.170328
AK,Rating Area 2,0-20,263.4397268
AK,Rating Area 2,21,403.6551913
AK,Rating Area 2,22,403.6551913
AK,Rating Area 2,23,403.6551913
AK,Rating Area 2,24,403.6551913
AK,Rating Area 2,25,405.2394536
AK,Rating Area 2,26,413.3604918
AK,Rating Area 2,27,422.8702186
AK,Rating Area 2,28,438.3048087
AK,Rating Area 2,29,450.9710929
AK,Rating Area 2,30,457.3180328
AK,Rating Area 2,31,466.8165574
AK,Rating Area 2,32,476.3265027
AK,Rating Area 2,33,482.2570492
AK,Rating Area 2,34,488.587541
AK,Rating Area 2,35,491.7667213
AK,Rating Area 2,36,494.929071
AK,Rating Area 2,37,498.0860656
AK,Rating Area 2,38,501.2539344
AK,Rating Area 2,39,507.5901639
AK,Rating Area 2,40,513.9261202
AK,Rating Area 2,41,523.4301093
AK,Rating Area 2,42,532.5290164
AK,Rating Area 2,43,545.2065574
AK,Rating Area 2,44,561.0520219
AK,Rating Area 2,45,579.6546995
AK,Rating Area 2,46,601.8089618
AK,Rating Area 2,47,626.7694536
AK,Rating Area 2,48,655.26
AK,Rating Area 2,49,683.3777596
AK,Rating Area 2,50,715.0415847
AK,Rating Area 2,51,746.3328415
AK,Rating Area 2,52,780.7591803
AK,Rating Area 2,53,815.596612
AK,Rating Area 2,54,853.2239891
AK,Rating Area 2,55,890.9574863
AK,Rating Area 2,56,931.7308197
AK,Rating Area 2,57,972.9152459
AK,Rating Area 2,58,1016.861858
AK,Rating Area 2,59,1038.627049
AK,Rating Area 2,60,1082.579945
AK,Rating Area 2,61,1120.595847
AK,Rating Area 2,62,1145.545519
AK,Rating Area 2,63,1176.81459
AK,Rating Area 2,64,1195.803169
AK,Rating Area 2,65 and,1196.46541
AK,Rating Area 3,0-20,265.3123757
AK,Rating Area 3,21,406.7445304
AK,Rating Area 3,22,406.7445304
AK,Rating Area 3,23,406.7445304
AK,Rating Area 3,24,406.7445304
AK,Rating Area 3,25,408.3462983
AK,Rating Area 3,26,416.5367956
AK,Rating Area 3,27,426.1460774
AK,Rating Area 3,28,441.7014917
AK,Rating Area 3,29,454.4911602
AK,Rating Area 3,30,460.8750829
AK,Rating Area 3,31,470.4730387
AK,Rating Area 3,32,480.0493923
AK,Rating Area 3,33,486.0509945
AK,Rating Area 3,34,492.4127624
AK,Rating Area 3,35,495.6270718
AK,Rating Area 3,36,498.8077901
AK,Rating Area 3,37,502.0107182
AK,Rating Area 3,38,505.2025414
AK,Rating Area 3,39,511.5922099
AK,Rating Area 3,40,517.9871271
AK,Rating Area 3,41,527.5685083
AK,Rating Area 3,42,536.7569061
AK,Rating Area 3,43,549.5303315
AK,Rating Area 3,44,565.5122099
AK,Rating Area 3,45,584.2762431
AK,Rating Area 3,46,606.6476796
AK,Rating Area 3,47,631.801105
AK,Rating Area 3,48,660.5622652
AK,Rating Area 3,49,688.9244199
AK,Rating Area 3,50,720.8773481
AK,Rating Area 3,51,752.4314917
AK,Rating Area 3,52,787.1774586
AK,Rating Area 3,53,822.3114365
AK,Rating Area 3,54,860.2717127
AK,Rating Area 3,55,898.3337569
AK,Rating Area 3,56,939.4692265
AK,Rating Area 3,57,981.0148066
AK,Rating Area 3,58,1025.353094
AK,Rating Area 3,59,1047.303536
AK,Rating Area 3,60,1091.637127
AK,Rating Area 3,61,1129.990221
AK,Rating Area 3,62,1155.138232
AK,Rating Area 3,63,1186.703094
AK,Rating Area 3,64,1205.851768
AK,Rating Area 3,65 and,1206.509448
AL,Rating Area 1,0-20,66.44725
AL,Rating Area 1,21,143.09425
AL,Rating Area 1,22,143.14425
AL,Rating Area 1,23,143.19425
AL,Rating Area 1,24,143.24425
AL,Rating Area 1,25,143.605625
AL,Rating Area 1,26,145.4235
AL,Rating Area 1,27,147.346375
AL,Rating Area 1,28,150.430375
AL,Rating Area 1,29,152.97025
AL,Rating Area 1,30,154.265125
AL,Rating Area 1,31,156.182125
AL,Rating Area 1,32,158.09925
AL,Rating Area 1,33,159.316125
AL,Rating Area 1,34,160.611
AL,Rating Area 1,35,161.28325
AL,Rating Area 1,36,161.955875
AL,Rating Area 1,37,162.628375
AL,Rating Area 1,38,163.300625
AL,Rating Area 1,39,164.595375
AL,Rating Area 1,40,165.89025
AL,Rating Area 1,41,167.8075
AL,Rating Area 1,42,169.646625
