State,Final Zip,County Name,RatingAreaID
AL,36003,Autauga,Rating Area 11
AL,36006,Autauga,Rating Area 11
AL,36022,Autauga,Rating Area 11
AL,36051,Autauga,Rating Area 11
AL,36066,Autauga,Rating Area 11
AL,36067,Autauga,Rating Area 11
AL,36091,Autauga,Rating Area 11
AL,36703,Autauga,Rating Area 11
AL,36749,Autauga,Rating Area 11
AL,36758,Autauga,Rating Area 11
AL,36480,Baldwin,Rating Area 13
AL,36502,Baldwin,Rating Area 13
AL,36507,Baldwin,Rating Area 13
AL,36511,Baldwin,Rating Area 13
AL,36526,Baldwin,Rating Area 13
AL,36527,Baldwin,Rating Area 13
AL,36530,Baldwin,Rating Area 13
AL,36532,Baldwin,Rating Area 13
AL,36535,Baldwin,Rating Area 13
AL,36542,Baldwin,Rating Area 13
AL,36549,Baldwin,Rating Area 13
AL,36550,Baldwin,Rating Area 13
AL,36551,Baldwin,Rating Area 13
AL,36555,Baldwin,Rating Area 13
AL,36559,Baldwin,Rating Area 13
AL,36561,Baldwin,Rating Area 13
AL,36562,Baldwin,Rating Area 13
AL,36564,Baldwin,Rating Area 13
AL,36567,Baldwin,Rating Area 13
AL,36574,Baldwin,Rating Area 13
AL,36576,Baldwin,Rating Area 13
AL,36578,Baldwin,Rating Area 13
AL,36579,Baldwin,Rating Area 13
AL,36580,Baldwin,Rating Area 13
AL,99999,Baldwin,Rating Area 13
AL,36005,Barbour,Rating Area 13
AL,36016,Barbour,Rating Area 13
AL,36017,Barbour,Rating Area 13
AL,36027,Barbour,Rating Area 13
AL,36048,Barbour,Rating Area 13
AL,36053,Barbour,Rating Area 13
AL,36311,Barbour,Rating Area 13
AL,36317,Barbour,Rating Area 13
AL,36374,Barbour,Rating Area 13
AL,35034,Bibb,Rating Area 3
AL,35035,Bibb,Rating Area 3
AL,35042,Bibb,Rating Area 3
AL,35074,Bibb,Rating Area 3
AL,35111,Bibb,Rating Area 3
AL,35115,Bibb,Rating Area 3
AL,35184,Bibb,Rating Area 3
AL,35188,Bibb,Rating Area 3
AL,35456,Bibb,Rating Area 3
AL,36750,Bibb,Rating Area 3
AL,36792,Bibb,Rating Area 3
AL,36793,Bibb,Rating Area 3
AL,35013,Blount,Rating Area 3
AL,35016,Blount,Rating Area 3
AL,35031,Blount,Rating Area 3
AL,35049,Blount,Rating Area 3
AL,35063,Blount,Rating Area 3
AL,35079,Blount,Rating Area 3
AL,35097,Blount,Rating Area 3
AL,35121,Blount,Rating Area 3
AL,35126,Blount,Rating Area 3
AL,35133,Blount,Rating Area 3
AL,35146,Blount,Rating Area 3
AL,35172,Blount,Rating Area 3
AL,35180,Blount,Rating Area 3
AL,35952,Blount,Rating Area 3
AL,35957,Blount,Rating Area 3
AL,35976,Blount,Rating Area 3
AL,35980,Blount,Rating Area 3
AL,36005,Bullock,Rating Area 13
AL,36029,Bullock,Rating Area 13
AL,36052,Bullock,Rating Area 13
AL,36053,Bullock,Rating Area 13
AL,36081,Bullock,Rating Area 13
AL,36089,Bullock,Rating Area 13
AL,36860,Bullock,Rating Area 13
AL,36030,Butler,Rating Area 13
AL,36032,Butler,Rating Area 13
AL,36033,Butler,Rating Area 13
